ID;RegioS;JongerDan5Jaar_4;k_5Tot10Jaar_5;k_10Tot15Jaar_6;k_15Tot20Jaar_7;k_20Tot25Jaar_8;k_25Tot45Jaar_9;k_45Tot65Jaar_10;k_65Tot80Jaar_11;k_80JaarOfOuder_12;ZeerSterkStedelijk_52;SterkStedelijk_53;MatigStedelijk_54;WeinigStedelijk_55;NietStedelijk_56;TotaalAantalBanen_112;ParticuliereHuishoudensExclStudenten_121;BedrijfsvestigingenTotaal_164;AfstandTotSchoolBasisonderwijs_216;AantalGroteSupermarktenBinnen3Km_223;AantalRestaurantsBinnen3Km_225
6497;GM0779;1033;1197;1206;1236;1011;5051;6442;3398;943;0;5340;8390;5570;2210;    10.7;     9.3;1995;     0.7;     5.2;    11.7
6523;GM0236;1354;1570;1776;1927;1424;5661;8043;4027;1036;0;0;5170;9570;12080;    14.9;    10.7;2990;     0.8;     3.3;     6.1
6549;GM0781;;;;;;;;;;;;;;;;;;;;
6575;GM1771;1939;2035;2215;2398;1944;8785;11500;6386;2050;0;14960;13350;9430;1520;    12.9;    17.3;3040;     0.6;     5.8;    15.2
6601;GM0906;;;;;;;;;;;;;;;;;;;;
6627;GM0782;;;;;;;;;;;;;;;;;;;;
6653;GM1652;1578;1724;1694;1769;1684;7156;9076;4392;1267;0;4300;7620;7730;10690;     9.5;    12.7;2895;     0.8;     3.6;     8.2
6679;GM0237;;;;;;;;;;;;;;;;;;;;
6705;GM0238;;;;;;;;;;;;;;;;;;;;
6731;GM0154;;;;;;;;;;;;;;;;;;;;
6757;GM0907;742;872;966;1008;764;3510;5350;2979;861;0;0;4360;5180;7510;     8.7;     7.1;1350;     0.7;     4.1;     7.9
6783;GM0689;698;841;901;1089;797;2977;4355;2292;601;0;0;0;1420;13130;     4.1;     5.8;1605;     1.1;     1.0;     2.2
6809;GM0116;;;;;;;;;;;;;;;;;;;;
6835;GM0784;1298;1460;1528;1597;1379;5953;7755;4237;1106;0;8710;5680;8810;3120;    11.8;    11.0;2220;     0.7;     3.8;     6.5
6861;GM0511;;;;;;;;;;;;;;;;;;;;
6887;GM1924;2478;2600;2970;3065;2463;10712;14398;7824;2619;0;3310;6800;20320;18710;    18.5;    20.6;4440;     0.7;     2.3;     5.5
6913;GM0664;1665;1886;1988;2248;1853;8411;10950;6221;2414;0;14640;7250;7680;8070;    28.0;    17.2;3490;     0.7;     6.4;    30.6
6939;GM0785;1220;1413;1356;1396;1000;5089;6911;4121;1115;0;7560;7100;5750;3210;     6.6;     9.9;1975;     0.7;     4.8;    10.7
6965;GM1942;3089;3767;4050;3733;2194;11695;16615;8535;3659;15580;20400;8830;6120;6410;    20.7;    25.3;7775;     0.6;     9.7;    45.6
6991;GM0156;;;;;;;;;;;;;;;;;;;;
7017;GM0512;1934;2006;2087;2265;2097;9090;10285;4877;1643;2810;19450;10230;2330;1470;    26.1;    16.1;3195;     0.6;     8.7;    28.7
7043;GM0239;;;;;;;;;;;;;;;;;;;;
7069;GM0513;3934;4066;4318;4480;4392;17828;20274;10043;3365;34530;27760;7950;2170;300;    37.1;    32.6;5680;     0.6;     9.7;    49.4
7095;GM0693;;;;;;;;;;;;;;;;;;;;
7121;GM0365;;;;;;;;;;;;;;;;;;;;
7147;GM0157;;;;;;;;;;;;;;;;;;;;
7173;GM0786;536;691;685;775;624;2633;3818;2085;572;0;0;1010;8050;3360;     3.7;     5.2;935;     0.6;     3.5;    14.0
7199;GM0390;;;;;;;;;;;;;;;;;;;;
7225;GM0517;;;;;;;;;;;;;;;;;;;;
7251;GM0518;31983;31317;29299;29965;35346;161052;137189;57643;18767;439700;57420;25720;7800;1940;   281.5;   244.4;52560;     0.5;    34.9;   214.2
7277;GM0787;;;;;;;;;;;;;;;;;;;;
7303;GM0519;;;;;;;;;;;;;;;;;;;;
7329;GM0240;;;;;;;;;;;;;;;;;;;;
7355;GM0241;;;;;;;;;;;;;;;;;;;;
7381;GM0014;8627;8074;7612;13055;34618;61815;43312;19433;6264;126330;34300;21900;10530;9760;   147.7;    94.0;16455;     0.7;    21.3;   145.0
7407;GM0015;615;728;855;863;647;2596;3667;1655;517;0;0;0;770;11370;     2.6;     4.8;1085;     0.8;     1.4;     2.4
7433;GM0912;;;;;;;;;;;;;;;;;;;;
7459;GM0913;;;;;;;;;;;;;;;;;;;;
7485;GM1729;493;510;594;709;623;2635;4800;2937;895;0;0;0;3000;11200;     3.3;     6.4;1310;     1.5;     1.7;    13.7
7511;GM0158;1033;1280;1471;1617;1138;4780;7351;4314;1307;0;3780;8350;7270;4900;    10.0;    10.0;2130;     0.7;     5.0;    16.7
7537;GM0788;536;678;767;952;763;2708;4569;2494;636;0;0;0;5440;8670;     4.5;     5.7;1555;     1.0;     1.9;     6.0
7563;GM0392;9264;9303;8477;8032;8462;46413;42622;20266;6870;125620;29130;3890;360;710;    68.6;    75.1;17105;     0.5;    20.2;   130.2
7589;GM0393;304;310;290;383;345;1272;1903;816;244;0;0;1500;770;3590;     2.0;     2.5;715;     0.7;     1.8;     6.7
7615;GM0394;7173;8851;10174;9889;8007;34742;44444;18983;5019;16850;70450;31850;17090;11030;   170.2;    60.7;15790;     0.8;     7.9;    21.5
7641;GM0914;;;;;;;;;;;;;;;;;;;;
7667;GM1655;1418;1404;1556;1737;1422;6302;9229;5306;1514;0;1350;4490;16150;7900;    10.6;    12.9;2770;     0.8;     3.0;     6.4
7693;GM0789;;;;;;;;;;;;;;;;;;;;
7719;GM0159;;;;;;;;;;;;;;;;;;;;
7745;GM0160;3315;3640;3947;4263;3523;13673;17244;8300;2634;0;0;9620;18010;32920;    24.3;    23.8;4835;     1.0;     2.9;     7.8
7771;GM0243;2609;2976;2942;3073;2394;11679;12842;6342;1975;0;21610;19630;2130;3470;    23.5;    19.6;3845;     0.6;     7.7;    25.1
7797;GM0523;1123;1160;1207;1216;1131;4267;4545;2431;878;0;0;8600;7790;1570;     8.3;     6.9;1685;     0.6;     2.6;     6.0
7823;GM0017;1066;1176;1205;1216;683;3718;5574;3606;1616;0;1190;8980;5490;4200;     6.1;     8.7;1735;     0.8;     4.6;    10.9
7849;GM0395;;;;;;;;;;;;;;;;;;;;
7875;GM0072;693;811;1000;1017;730;3152;4611;2962;807;0;1650;6830;5730;1570;     5.8;     7.2;1445;     0.7;     5.4;    22.5
7901;GM0318;;;;;;;;;;;;;;;;;;;;
7927;GM0161;;;;;;;;;;;;;;;;;;;;
7953;GM0244;650;689;818;795;557;2514;3443;1995;693;0;0;4650;5380;2130;     3.6;     5.0;955;     0.7;     1.9;    13.2
7979;GM0117;;;;;;;;;;;;;;;;;;;;
8005;GM0245;;;;;;;;;;;;;;;;;;;;
8031;GM1937;;;;;;;;;;;;;;;;;;;;
8057;GM0396;1797;1997;2147;2399;2125;8503;11730;6121;2327;16890;15310;3110;2050;1780;    10.8;    17.2;2620;     0.5;    12.8;    32.0
8083;GM0397;1411;1679;1694;1624;848;4851;7774;5038;2161;2060;16330;2910;5170;620;     7.4;    11.8;2995;     0.7;    11.9;    48.0
8109;GM0246;876;1071;1076;1185;847;3747;5556;3232;1013;0;0;2250;10120;6240;     6.7;     7.5;1440;     0.8;     2.5;     6.1
8135;GM0074;2421;2727;3033;3253;2453;11069;14667;7851;2718;1280;13070;6940;8140;20770;    33.0;    22.3;4570;     0.9;     3.9;    17.6
8161;GM0247;;;;;;;;;;;;;;;;;;;;
8187;GM0398;3188;3529;3594;3740;2900;14307;14974;7883;1735;5450;30690;9770;5660;4280;    23.6;    22.9;4180;     0.6;     8.3;    17.9
8213;GM0526;;;;;;;;;;;;;;;;;;;;
8239;GM0917;3538;3734;3860;4432;4661;20368;26737;14256;5176;8520;51210;20130;6040;880;    52.5;    44.1;5405;     0.6;    10.8;    36.6
8265;GM0791;;;;;;;;;;;;;;;;;;;;
8291;GM0793;;;;;;;;;;;;;;;;;;;;
8317;GM1658;679;761;858;968;785;3126;5007;2771;931;0;0;2650;7320;5920;     5.4;     6.6;1730;     0.8;     1.9;     7.2
8343;GM0399;919;1200;1408;1497;967;4032;6936;4415;1725;0;9130;5440;7530;990;     5.6;    10.3;2050;     0.6;     6.4;    18.2
8369;GM0162;;;;;;;;;;;;;;;;;;;;
8395;GM0918;;;;;;;;;;;;;;;;;;;;
8421;GM0400;2569;2741;2853;3062;3043;12529;16758;9385;2820;7470;25750;16250;4330;1960;    28.2;    26.4;2975;     0.7;     7.1;    16.5
8447;GM0163;1687;1965;2352;2281;1765;7801;10341;5792;1812;0;3670;9080;12510;10540;    12.5;    14.5;2690;     0.7;     5.0;    11.6
8473;GM0530;1756;2142;2314;2233;2027;9128;12231;6619;1542;1630;20610;10190;4520;3050;     8.6;    17.8;2605;     0.7;     7.5;    16.6
8499;GM0794;4657;5321;5688;5853;4882;22758;26481;12039;3224;14450;35820;20200;17100;3340;    46.6;    39.7;6800;     0.6;     9.9;    28.5
8525;GM0795;;;;;;;;;;;;;;;;;;;;
8551;GM0531;2066;2204;2088;1922;1570;7812;7973;3782;1260;1140;23580;4590;1280;70;     8.3;    12.0;2345;     0.6;     9.1;    22.3
8577;GM0248;;;;;;;;;;;;;;;;;;;;
8603;GM0164;3748;4194;4886;5125;4446;19435;22980;11622;4157;16680;32470;17670;10900;2870;    44.6;    36.5;6400;     0.7;    11.7;    40.3
8629;GM0796;8035;8213;8079;8520;9340;41017;43336;20714;6180;32300;55480;27750;22360;15550;   106.1;    70.0;16460;     0.6;     9.1;    64.0
8655;GM0251;;;;;;;;;;;;;;;;;;;;
8681;GM0252;666;830;960;1181;781;2894;5345;2921;884;0;0;5450;6020;4990;     4.3;     7.0;1430;     0.7;     3.0;     7.6
8707;GM0797;2074;2352;2529;2736;2317;9706;13277;6779;1953;0;11660;11180;11630;9250;    13.5;    18.3;4210;     0.6;     4.8;     8.8
8733;GM0920;;;;;;;;;;;;;;;;;;;;
8759;GM0534;1047;1194;1218;1255;981;5207;6418;3360;1132;0;13180;5310;790;2540;     6.7;     9.6;1945;     0.6;     6.2;    16.1
8785;GM0798;636;781;940;996;787;3047;4854;2592;733;0;0;2420;5540;7400;     5.4;     6.3;1715;     0.7;     2.9;     6.8
8811;GM0402;4768;5088;5298;5152;4506;23345;24331;12274;4759;51110;21770;9530;5680;1430;    52.2;    41.3;10395;     0.6;    13.1;   100.8
8837;GM1963;;;;;;;;;;;;;;;;;;;;
8863;GM0253;;;;;;;;;;;;;;;;;;;;
8889;GM0799;;;;;;;;;;;;;;;;;;;;
8915;GM1735;1438;1763;2160;2256;1717;6647;10344;6402;2203;0;0;6250;15020;13660;    12.5;    14.6;3660;     0.9;     2.7;     7.3
8941;GM1966;;;;;;;;;;;;;;;;;;;;
8967;GM1911;2245;2558;2919;3191;2442;10196;14526;7557;2047;0;0;1060;18750;27870;    13.6;    20.1;4975;     1.1;     2.0;     3.2
8993;GM0165;;;;;;;;;;;;;;;;;;;;
9019;GM0675;;;;;;;;;;;;;;;;;;;;
9045;GM0801;;;;;;;;;;;;;;;;;;;;
9071;GM0802;;;;;;;;;;;;;;;;;;;;
9097;GM0800;;;;;;;;;;;;;;;;;;;;
9123;GM0118;2867;3358;3314;3521;2870;13051;15091;8636;2969;1520;15890;12720;10850;14690;    30.6;    23.9;4130;     0.7;     7.6;    19.6
9149;GM0018;;;;;;;;;;;;;;;;;;;;
9175;GM0405;3972;4124;4209;4596;3895;18156;20372;10797;2685;0;43500;20390;8760;160;    33.3;    32.5;5975;     0.6;     9.1;    35.3
9201;GM0923;;;;;;;;;;;;;;;;;;;;
9227;GM1507;1852;2061;2392;2754;2266;9059;13185;6564;2138;0;1170;7650;12100;21350;    18.9;    17.7;3565;     0.8;     3.9;     6.8
9253;GM0321;2814;3315;3798;3424;2398;11447;15656;5239;1488;0;28330;11610;6120;3520;    23.5;    19.7;4585;     0.7;     6.6;    18.3
9279;GM0803;;;;;;;;;;;;;;;;;;;;
9305;GM0255;;;;;;;;;;;;;;;;;;;;
9331;GM0406;1967;2141;2490;2538;1964;8256;12879;7061;2073;12050;17400;7870;2920;1130;    13.7;    18.2;4200;     0.6;     9.3;    31.7
9357;GM0677;1068;1172;1447;1487;1102;5622;8924;4984;1666;0;0;3050;7070;17350;     7.3;    12.4;2100;     1.0;     3.8;    12.5
9383;GM0256;;;;;;;;;;;;;;;;;;;;
9409;GM0925;;;;;;;;;;;;;;;;;;;;
9435;GM0195;;;;;;;;;;;;;;;;;;;;
9461;GM0191;;;;;;;;;;;;;;;;;;;;
9487;GM0353;1732;2017;2424;2450;1736;7804;10411;4349;1379;3130;19660;10440;570;500;    10.6;    14.3;2950;     0.6;     6.9;    23.8
9513;GM0645;;;;;;;;;;;;;;;;;;;;
9539;GM1884;1261;1435;1511;1736;1336;5779;8209;4170;1188;0;0;4780;11150;10700;     8.0;    11.2;2815;     0.8;     1.3;     7.0
9565;GM0166;3389;3588;3578;3689;3082;13465;13611;6703;2154;2480;19010;12770;9040;9960;    21.0;    21.4;4310;     0.6;     6.8;    24.3
9591;GM0678;672;797;877;854;591;2762;3644;1890;633;0;0;1050;9060;2610;     4.2;     5.2;1140;     0.7;     3.1;     3.1
9617;GM0537;3851;4207;4169;4244;3818;16172;17273;8736;2486;18630;35360;7550;2070;1350;    22.9;    25.9;4415;     0.5;     7.0;    24.9
9643;GM0928;1754;1961;1923;2058;2104;9838;14848;8537;2800;5710;20850;13080;5840;340;    15.3;    22.4;2555;     0.6;     6.0;    17.9
9669;GM0257;;;;;;;;;;;;;;;;;;;;
9695;GM0929;;;;;;;;;;;;;;;;;;;;
9721;GM0258;;;;;;;;;;;;;;;;;;;;
9747;GM0804;;;;;;;;;;;;;;;;;;;;
9773;GM1598;1139;1234;1437;1617;1221;4831;6739;3482;959;0;0;20;10940;11700;     7.5;     9.2;2375;     0.8;     1.5;     2.4
9799;GM0079;681;743;796;818;725;2844;3738;1932;550;0;0;0;4670;8160;     2.7;     5.3;1125;     0.8;     1.9;     2.9
9825;GM0588;600;586;715;706;569;2225;3373;1783;540;0;0;0;520;10580;     2.0;     4.5;995;     0.9;     1.0;     0.6
9851;GM0542;1583;1694;1846;1940;1532;6006;7804;5015;1886;2780;21030;4650;830;10;     8.2;    12.2;2145;     0.7;     6.6;    17.3
9877;GM1931;2854;3140;3371;3762;3217;12030;15812;8778;2680;0;1460;15090;25200;13890;    16.3;    23.1;5490;     0.8;     2.4;     4.9
9903;GM1659;968;1166;1302;1432;1080;4777;6663;3726;1044;0;0;2320;11980;7850;     6.6;     9.3;2075;     0.8;     2.7;     7.7
9929;GM1685;717;852;898;1028;863;3060;4699;2494;721;0;0;0;8490;6840;     5.4;     6.0;1575;     1.0;     1.7;     6.6
9955;GM0882;1473;1618;1729;1950;1667;7839;12297;6967;2072;0;20690;12450;3150;1320;    10.0;    17.5;2030;     0.7;     6.6;    17.7
9981;GM0415;626;676;648;728;509;2420;3499;1785;544;0;0;7410;2390;1630;     2.1;     4.8;1375;     0.6;     3.0;    12.4
10007;GM0325;;;;;;;;;;;;;;;;;;;;
10033;GM0416;1413;1535;1800;1891;1468;6082;8208;4381;1058;0;20;11880;13220;2710;     7.0;    11.4;2475;     0.8;     5.7;     9.4
10059;GM1621;4134;4654;4463;4132;2755;14838;17144;6949;2086;0;20480;27750;9340;3590;    28.0;    23.2;6160;     0.8;     5.3;    16.3
10085;GM0417;460;608;697;681;305;1695;3260;2341;1099;0;0;7060;3130;960;     5.0;     4.9;1905;     0.7;     4.4;    31.4
10111;GM0022;917;1116;1221;1302;850;4095;5940;3207;1021;0;0;5910;6520;7250;     8.9;     8.4;1745;     1.0;     5.2;     7.9
10137;GM0805;;;;;;;;;;;;;;;;;;;;
10163;GM0545;1104;1164;1282;1414;1211;4947;5723;3146;1039;0;5870;9570;2340;3250;     8.1;     8.6;1595;     0.6;     5.4;    14.0
10189;GM0326;;;;;;;;;;;;;;;;;;;;
10215;GM0080;6053;6391;6368;7577;10620;31162;32241;16535;5468;41740;24790;16570;19390;19920;    70.6;    56.9;9745;     0.7;    13.5;    65.3
10241;GM0081;;;;;;;;;;;;;;;;;;;;
10267;GM0546;5666;5556;5428;7276;15351;36392;30245;14106;4286;94880;27700;1460;170;110;    69.6;    56.1;9950;     0.7;    16.5;   143.1
10293;GM0547;1337;1505;1581;1704;1360;5662;8048;4506;1494;14550;5570;6020;860;210;    10.0;    12.0;2055;     0.5;     9.4;    37.6
10319;GM0548;;;;;;;;;;;;;;;;;;;;
