"ID";"RegioS";"Perioden";"Bevolkingsgroei_79";"Woningdichtheid_93";"GemiddeldeWoningwaarde_99";"ParticuliereHuishoudensExclStudenten_122";"Werkloosheid_155";"AantalHuisartsenpraktijkenBinnen3Km_210";"AfstandTotOpenbaarGroen_231";"AfstandTotOpritHoofdverkeersweg_232";"AfstandTotTreinstation_233"
"3481";"GM0310";"2018JJ00";"     -22";"     294";"     359";"    52.9";"     520";"     5.2";"       .";"     1.6";"     2.5"
"3507";"GM0585";"2018JJ00";"     194";"     185";"     238";"    48.5";"     290";"     2.0";"       .";"     1.1";"    10.4"
"3533";"GM1728";"2018JJ00";"      31";"     114";"     278";"    46.4";"     240";"     3.8";"       .";"     1.5";"    20.7"
"3559";"GM0754";"2018JJ00";"";"";"";"";"";"";"";"";""
"3585";"GM0376";"2018JJ00";"     407";"     438";"     575";"    76.1";"     120";"     5.8";"       .";"     1.4";"     7.9"
"3611";"GM0495";"2018JJ00";"";"";"";"";"";"";"";"";""
"3637";"GM0377";"2018JJ00";"     202";"     249";"     637";"    78.0";"     260";"     9.0";"       .";"     1.2";"     1.8"
"3663";"GM0055";"2018JJ00";"";"";"";"";"";"";"";"";""
"3689";"GM0497";"2018JJ00";"";"";"";"";"";"";"";"";""
"3715";"GM1901";"2018JJ00";"     514";"     189";"     278";"    51.8";"     410";"     2.9";"       .";"     1.3";"     3.2"
"3741";"GM0755";"2018JJ00";"      86";"     118";"     261";"    48.2";"     110";"     0.9";"       .";"     1.3";"    18.2"
"3767";"GM0009";"2018JJ00";"      -3";"      67";"     175";"    42.9";"      90";"     1.4";"       .";"     0.7";"     8.0"
"3793";"GM0064";"2018JJ00";"";"";"";"";"";"";"";"";""
"3819";"GM0211";"2018JJ00";"";"";"";"";"";"";"";"";""
"3845";"GM0108";"2018JJ00";"";"";"";"";"";"";"";"";""
"3871";"GM1681";"2018JJ00";"      21";"      42";"     183";"    41.6";"     470";"     1.5";"       .";"     2.1";"    15.8"
"3897";"GM0897";"2018JJ00";"";"";"";"";"";"";"";"";""
"3923";"GM0147";"2018JJ00";"      86";"     375";"     225";"    45.3";"     310";"     2.8";"       .";"     1.0";"     1.8"
"3949";"GM0654";"2018JJ00";"      84";"      69";"     211";"    44.8";"     270";"     1.3";"       .";"     1.7";"     8.9"
"3975";"GM0499";"2018JJ00";"";"";"";"";"";"";"";"";""
"4001";"GM0756";"2018JJ00";"     212";"     110";"     239";"    45.1";"     450";"     3.0";"       .";"     2.3";"     2.8"
"4027";"GM0757";"2018JJ00";"      75";"     209";"     244";"    44.1";"     480";"     4.2";"       .";"     1.7";"     2.3"
"4053";"GM0212";"2018JJ00";"";"";"";"";"";"";"";"";""
"4079";"GM0758";"2018JJ00";"     425";"     662";"     250";"    43.6";"    2960";"     8.9";"       .";"     2.6";"     3.0"
"4105";"GM0194";"2018JJ00";"";"";"";"";"";"";"";"";""
"4131";"GM0311";"2018JJ00";"";"";"";"";"";"";"";"";""
"4157";"GM0501";"2018JJ00";"     142";"     287";"     222";"    48.3";"     210";"     1.8";"       .";"     0.9";"    23.0"
"4183";"GM0898";"2018JJ00";"";"";"";"";"";"";"";"";""
"4209";"GM1876";"2018JJ00";"    -140";"      57";"     254";"    48.0";"     400";"     1.4";"       .";"     1.1";"     6.2"
"4235";"GM0656";"2018JJ00";"";"";"";"";"";"";"";"";""
"4261";"GM0657";"2018JJ00";"";"";"";"";"";"";"";"";""
"4287";"GM0213";"2018JJ00";"     -73";"     111";"     243";"    44.5";"     280";"     2.8";"       .";"     1.2";"     4.5"
"4313";"GM0899";"2018JJ00";"    -138";"     841";"     140";"    36.2";"     410";"     7.7";"       .";"     1.1";"     6.2"
"4339";"GM0759";"2018JJ00";"";"";"";"";"";"";"";"";""
"4365";"GM0312";"2018JJ00";"     -22";"     172";"     319";"    52.4";"     180";"     2.3";"       .";"     0.8";"     2.6"
"4391";"GM0313";"2018JJ00";"     310";"     272";"     276";"    49.7";"     190";"     2.9";"       .";"     1.9";"     9.2"
"4417";"GM0214";"2018JJ00";"     203";"      79";"     284";"    49.6";"     350";"     0.9";"       .";"     1.2";"     7.1"
"4443";"GM0381";"2018JJ00";"";"";"";"";"";"";"";"";""
"4469";"GM0502";"2018JJ00";"     -36";"    2175";"     189";"    41.2";"    1110";"     8.9";"       .";"     2.1";"     3.5"
"4495";"GM0383";"2018JJ00";"     164";"     318";"     279";"    51.6";"     380";"     3.8";"       .";"     1.5";"     2.5"
"4521";"GM0760";"2018JJ00";"";"";"";"";"";"";"";"";""
"4547";"GM0109";"2018JJ00";"     184";"      52";"     192";"    41.3";"     580";"     2.0";"       .";"     1.3";"     5.2"
"4573";"GM0314";"2018JJ00";"";"";"";"";"";"";"";"";""
"4599";"GM1706";"2018JJ00";"     104";"     116";"     244";"    45.7";"     270";"     1.8";"       .";"     4.0";"     6.1"
"4625";"GM0611";"2018JJ00";"      90";"     104";"     238";"    50.3";"     140";"     1.6";"       .";"     1.7";"    19.3"
"4651";"GM1684";"2018JJ00";"      20";"     214";"     211";"    42.9";"     380";"     2.4";"       .";"     1.9";"     2.3"
"4677";"GM0216";"2018JJ00";"     360";"     416";"     223";"    45.0";"     430";"     3.4";"       .";"     1.7";"     1.7"
