GemeenteCode;ProvincieCode;GemeeenteNaam;
1892;PV28;Zuidplas;
1894;PV31;Peel en Maas;
1895;PV20;Oldambt;
1896;PV23;Zwartewaterland;
1900;PV21;Sudwest-Fryslan;
1901;PV28;Bodegraven-Reeuwijk;
1903;PV31;Eijsden-Margraten;
1904;PV26;Stichtse Vecht;
1911;PV27;Hollands Kroon;
1916;PV28;Leidschendam-Voorburg;
1924;PV28;Goeree-Overflakkee;
1926;PV28;Pijnacker-Nootdorp;
1927;PV28;Molenwaard;
1930;PV28;Nissewaard;
1931;PV28;Krimpenerwaard;
1940;PV21;De Fryske Marren;
1942;PV27;Gooise Meren;
1945;PV25;Berg en Dal;
1948;PV30;Meierijstad;
1949;PV21;Waadhoeke;
1950;PV20;Westerwolde;
1952;PV20;Midden-Groningen;
1955;PV25;Montferland;
